49.400
113.500
190.000
50.000
12.000
10.000
-33.252
0.000,-0.015,0.028,0.070,0.142,0.215,0.245,0.295,0.355,0.340,0.365,0.420
0.030,0.000,0.045,0.072,0.142,0.227,0.257,0.322,0.380,0.365,0.385,0.440
0.060,0.025,0.062,0.097,0.162,0.240,0.272,0.330,0.385,0.370,0.390,0.445
0.077,0.037,0.083,0.110,0.175,0.250,0.295,0.357,0.417,0.400,0.412,0.462
0.115,0.072,0.105,0.135,0.195,0.275,0.307,0.368,0.427,0.407,0.427,0.482
0.147,0.102,0.130,0.160,0.212,0.290,0.333,0.400,0.458,0.442,0.458,0.510
0.177,0.137,0.160,0.182,0.243,0.315,0.357,0.415,0.475,0.447,0.480,0.530
0.220,0.167,0.180,0.205,0.260,0.342,0.385,0.452,0.505,0.493,0.512,0.562
0.235,0.205,0.222,0.240,0.302,0.377,0.420,0.477,0.535,0.517,0.552,0.602
0.302,0.237,0.260,0.270,0.335,0.410,0.458,0.517,0.587,0.570,0.597,0.642
